Query Reference Similarity Dataset
553-26-4 149-32-6 0.58 HUUSKONEN_TEST
149-30-4 95-16-9 0.79 HUUSKONEN_TEST
60-29-7 111-43-3 0.67 HUUSKONEN_TEST
63-05-8 57-83-0 0.94 HUUSKONEN_TEST
3248-05-3 93-37-8 0.60 HUUSKONEN_TEST
79-31-2 554-12-1 0.80 HUUSKONEN_TEST
598-06-1 625-23-0 0.81 HUUSKONEN_TEST
107-31-3 109-94-4 0.64 HUUSKONEN_TEST
103-65-1 538-93-2 0.93 HUUSKONEN_TEST
106-57-0 461-72-3 0.62 HUUSKONEN_TEST
38380-02-8 55312-69-1 0.98 HUUSKONEN_TEST
60168-88-9 149-32-6 0.56 HUUSKONEN_TEST
628-63-7 142-92-7 0.91 HUUSKONEN_TEST
118-55-8 579-44-2 0.77 HUUSKONEN_TEST
75-85-4 594-60-5 0.89 HUUSKONEN_TEST
544-25-2 628-41-1 0.67 HUUSKONEN_TEST
72-54-8 50-29-3 0.95 HUUSKONEN_TEST
79-34-5 79-00-5 0.92 HUUSKONEN_TEST
109-70-6 540-54-5 0.62 HUUSKONEN_TEST
121-75-5 149-32-6 0.56 HUUSKONEN_TEST
4396-01-4 1484-80-6 0.68 HUUSKONEN_TEST
59-31-4 260-94-6 0.73 HUUSKONEN_TEST
98-86-2 93-55-0 0.81 HUUSKONEN_TEST
36378-49-1 4695-62-9 0.93 HUUSKONEN_TEST
72-55-9 3424-82-6 0.74 HUUSKONEN_TEST
741-58-2 144-80-9 0.58 HUUSKONEN_TEST
99-99-0 99-08-1 0.74 HUUSKONEN_TEST
109-67-1 592-42-7 0.88 HUUSKONEN_TEST
50-11-3 57-44-3 0.77 HUUSKONEN_TEST
628-71-7 3452-09-3 0.90 HUUSKONEN_TEST
62-23-7 150-13-0 0.73 HUUSKONEN_TEST
2051-61-8 2050-67-1 0.99 HUUSKONEN_TEST
629-14-1 111-43-3 0.55 HUUSKONEN_TEST
123-08-0 106-44-5 0.77 HUUSKONEN_TEST
52663-71-5 55215-17-3 1.00 HUUSKONEN_TEST
? 149-32-6 0.56 HUUSKONEN_TEST
28911-01-5 149-32-6 0.56 HUUSKONEN_TEST
542-55-2 110-74-7 0.76 HUUSKONEN_TEST
2642-98-0 134-32-7 0.91 HUUSKONEN_TEST
102-76-1 79-41-4 0.59 HUUSKONEN_TEST
57-74-9 309-00-2 0.97 HUUSKONEN_TEST
77-06-5 50-04-4 0.62 HUUSKONEN_TEST
111-66-0 124-11-8 0.95 HUUSKONEN_TEST
88-75-5 91-23-6 0.81 HUUSKONEN_TEST
83-26-1 149-32-6 0.56 HUUSKONEN_TEST
41483-43-6 23947-60-6 0.69 HUUSKONEN_TEST
111-68-2 111-86-4 0.94 HUUSKONEN_TEST
97-95-0 137-32-6 0.88 HUUSKONEN_TEST
144-82-1 94-19-9 0.94 HUUSKONEN_TEST
66-22-8 51-21-8 0.68 HUUSKONEN_TEST
85-44-9 84-66-2 0.72 HUUSKONEN_TEST
1114-71-2 2008-41-5 0.82 HUUSKONEN_TEST
352-34-1 462-06-6 0.64 HUUSKONEN_TEST
107-13-1 106-99-0 0.55 HUUSKONEN_TEST
120-57-0 121-34-6 0.74 HUUSKONEN_TEST
22994-85-0 149-32-6 0.56 HUUSKONEN_TEST
73-48-3 149-32-6 0.56 HUUSKONEN_TEST
98-06-6 99-87-6 0.83 HUUSKONEN_TEST
50-48-6 149-32-6 0.56 HUUSKONEN_TEST
68-35-9 599-88-2 0.90 HUUSKONEN_TEST
121-79-9 149-91-7 0.81 HUUSKONEN_TEST
79-11-8 79-20-9 0.52 HUUSKONEN_TEST
15687-27-1 53648-05-8 0.62 HUUSKONEN_TEST
60-80-0 83-07-8 0.80 HUUSKONEN_TEST
109-87-5 625-54-7 0.35 HUUSKONEN_TEST
526-73-8 700-12-9 0.87 HUUSKONEN_TEST
834-12-8 886-50-0 0.97 HUUSKONEN_TEST
15879-93-3 57-48-7 0.61 HUUSKONEN_TEST
1678-91-7 108-87-2 0.85 HUUSKONEN_TEST
35065-28-2 55312-69-1 1.00 HUUSKONEN_TEST
138-86-3 149-32-6 0.53 HUUSKONEN_TEST
13993-65-2 117-89-5 0.71 HUUSKONEN_TEST
10311-84-9 732-11-6 0.75 HUUSKONEN_TEST
76-93-7 117-34-0 0.74 HUUSKONEN_TEST
591-49-1 110-83-8 0.61 HUUSKONEN_TEST
298-00-0 56-38-2 0.92 HUUSKONEN_TEST
781-43-1 57-97-6 0.95 HUUSKONEN_TEST
127-18-4 79-01-6 0.92 HUUSKONEN_TEST
17560-51-9 14293-44-8 0.57 HUUSKONEN_TEST
33284-53-6 18259-05-7 0.98 HUUSKONEN_TEST
540-36-3 462-06-6 0.88 HUUSKONEN_TEST
100-42-5 140-10-3 0.63 HUUSKONEN_TEST
51-98-9 68-22-4 0.80 HUUSKONEN_TEST
549-36-5 7581-97-7 0.63 HUUSKONEN_TEST
142-62-1 123-99-9 0.93 HUUSKONEN_TEST
108-42-9 95-76-1 0.86 HUUSKONEN_TEST
1912-26-1 122-34-9 0.82 HUUSKONEN_TEST
5234-68-4 149-32-6 0.56 HUUSKONEN_TEST
968-81-0 664-95-9 0.88 HUUSKONEN_TEST
69-72-7 119-36-8 0.83 HUUSKONEN_TEST
013476-55-6 014309-40-1 0.99 HUUSKONEN_TEST
20244-70-6 4911-70-0 0.23 HUUSKONEN_TEST
92-52-4 92-94-4 0.81 HUUSKONEN_TEST
515-64-0 144-83-2 0.65 HUUSKONEN_TEST
35693-92-6 56558-16-8 0.96 HUUSKONEN_TEST
101-84-8 262-12-4 0.66 HUUSKONEN_TEST
109-00-2 626-64-2 0.59 HUUSKONEN_TEST
124-13-0 124-19-6 1.00 HUUSKONEN_TEST
50-49-7 50-47-5 0.98 HUUSKONEN_TEST
3337-71-1 144-80-9 0.75 HUUSKONEN_TEST
2623-33-8 62-44-2 0.88 HUUSKONEN_TEST
1929-82-4 149-32-6 0.55 HUUSKONEN_TEST
124-48-1 74-97-5 0.67 HUUSKONEN_TEST
110-54-3 109-66-0 0.89 HUUSKONEN_TEST
91-58-7 90-13-1 0.78 HUUSKONEN_TEST
2303-16-4 2303-17-5 0.92 HUUSKONEN_TEST
91-66-7 120-07-0 0.85 HUUSKONEN_TEST
129-00-0 53-70-3 1.00 HUUSKONEN_TEST
74-88-4 75-03-6 0.33 HUUSKONEN_TEST
93-60-7 59-67-6 0.82 HUUSKONEN_TEST
133-91-5 119-36-8 0.64 HUUSKONEN_TEST
513-36-0 540-54-5 0.83 HUUSKONEN_TEST
1077-16-3 538-68-1 0.97 HUUSKONEN_TEST
110-38-3 106-32-1 1.00 HUUSKONEN_TEST
88-13-1 624-18-0 0.53 HUUSKONEN_TEST
98-10-2 70-55-3 0.82 HUUSKONEN_TEST
57-13-6 127-07-1 0.50 HUUSKONEN_TEST
590-36-3 625-23-0 0.85 HUUSKONEN_TEST
2051-62-9 2050-67-1 0.79 HUUSKONEN_TEST
94-74-6 122-88-3 0.69 HUUSKONEN_TEST
106-30-9 106-32-1 1.00 HUUSKONEN_TEST
99-49-0 78-59-1 0.60 HUUSKONEN_TEST
95-55-6 123-30-8 0.77 HUUSKONEN_TEST
5392-40-5 78-59-1 0.55 HUUSKONEN_TEST
63-91-2 60-18-4 0.85 HUUSKONEN_TEST
142-08-5 110-86-1 0.56 HUUSKONEN_TEST
97-23-4 59-50-7 0.62 HUUSKONEN_TEST
198-55-0 53-70-3 1.00 HUUSKONEN_TEST
71-41-0 111-27-3 0.94 HUUSKONEN_TEST
104-51-8 538-68-1 0.92 HUUSKONEN_TEST
74-11-3 65-85-0 0.77 HUUSKONEN_TEST
542-76-7 540-54-5 0.59 HUUSKONEN_TEST
108-88-3 108-38-3 0.88 HUUSKONEN_TEST
96-12-8 78-75-1 0.60 HUUSKONEN_TEST
100-46-9 108-67-8 0.64 HUUSKONEN_TEST
330-54-1 555-37-3 0.82 HUUSKONEN_TEST
115-90-2 55-38-9 0.64 HUUSKONEN_TEST
1198-37-4 93-37-8 0.84 HUUSKONEN_TEST
110-62-3 66-25-1 0.93 HUUSKONEN_TEST
571-61-9 571-58-4 0.98 HUUSKONEN_TEST
107-05-1 107-04-0 0.53 HUUSKONEN_TEST
94-82-6 94-75-7 0.77 HUUSKONEN_TEST
109-99-9 628-28-4 0.85 HUUSKONEN_TEST
57-27-2 76-57-3 0.99 HUUSKONEN_TEST
106-51-4 141-76-4 0.56 HUUSKONEN_TEST
98-95-3 99-09-2 0.75 HUUSKONEN_TEST
119-91-5 260-94-6 0.58 HUUSKONEN_TEST
552-58-9 149-32-6 0.56 HUUSKONEN_TEST
112-38-9 123-99-9 0.81 HUUSKONEN_TEST
99-96-7 99-76-3 0.85 HUUSKONEN_TEST
217-59-4 53-70-3 1.00 HUUSKONEN_TEST
120-82-1 634-90-2 0.97 HUUSKONEN_TEST
133-67-5 58-93-5 0.81 HUUSKONEN_TEST
614-29-9 492-70-6 0.93 HUUSKONEN_TEST
108-94-1 502-56-7 0.81 HUUSKONEN_TEST
86-30-6 122-39-4 0.57 HUUSKONEN_TEST
426-13-1 378-44-9 0.97 HUUSKONEN_TEST
5259-88-1 149-32-6 0.56 HUUSKONEN_TEST
19550-30-2 137-32-6 0.84 HUUSKONEN_TEST
1024-57-3 24009-05-0 0.81 HUUSKONEN_TEST
31251-03-3 149-32-6 0.56 HUUSKONEN_TEST
26644-46-2 149-32-6 0.55 HUUSKONEN_TEST
1002-84-2 123-99-9 1.00 HUUSKONEN_TEST
76-24-4 52-43-7 0.58 HUUSKONEN_TEST
58-18-4 58-22-0 0.95 HUUSKONEN_TEST
592-35-8 2029-64-3 0.80 HUUSKONEN_TEST
111-92-2 123-75-1 0.78 HUUSKONEN_TEST
98-89-5 99-66-1 0.88 HUUSKONEN_TEST
111-26-2 111-86-4 0.83 HUUSKONEN_TEST
123-73-9 79-06-1 0.53 HUUSKONEN_TEST
41464-40-8 31508-00-6 0.91 HUUSKONEN_TEST
52-39-1 83-43-2 0.69 HUUSKONEN_TEST
25057-89-0 149-32-6 0.56 HUUSKONEN_TEST
339-43-5 3149-00-6 0.89 HUUSKONEN_TEST
86-87-3 1127-76-0 0.73 HUUSKONEN_TEST
1582-09-8 1861-40-1 0.98 HUUSKONEN_TEST
1125-78-6 496-11-7 0.63 HUUSKONEN_TEST
57-42-1 149-32-6 0.56 HUUSKONEN_TEST
64-19-7 79-20-9 0.71 HUUSKONEN_TEST
100-75-4 591-07-1 0.53 HUUSKONEN_TEST
529-86-2 90-15-3 0.96 HUUSKONEN_TEST
98-82-8 99-87-6 0.90 HUUSKONEN_TEST
485-65-4 485-71-2 0.93 HUUSKONEN_TEST
529-64-6 60-12-8 0.62 HUUSKONEN_TEST
120-83-2 88-06-2 0.93 HUUSKONEN_TEST
56-47-3 64-85-7 0.88 HUUSKONEN_TEST
51-66-1 62-44-2 0.91 HUUSKONEN_TEST
539-03-7 103-88-8 0.77 HUUSKONEN_TEST
107-87-9 78-93-3 0.88 HUUSKONEN_TEST
51218-45-2 15972-60-8 0.72 HUUSKONEN_TEST
95-48-7 106-44-5 0.83 HUUSKONEN_TEST
614-80-2 103-90-2 0.78 HUUSKONEN_TEST
452-35-7 149-32-6 0.56 HUUSKONEN_TEST
132-65-0 149-32-6 0.54 HUUSKONEN_TEST
94-12-2 13110-37-7 0.94 HUUSKONEN_TEST
73-49-4 54-31-9 0.57 HUUSKONEN_TEST
78-87-5 96-18-4 0.93 HUUSKONEN_TEST
83-56-7 90-15-3 0.89 HUUSKONEN_TEST
86-57-7 551-06-4 0.61 HUUSKONEN_TEST
495-69-2 149-32-6 0.58 HUUSKONEN_TEST
624-24-8 106-70-7 0.91 HUUSKONEN_TEST
38380-08-4 55312-69-1 0.97 HUUSKONEN_TEST
2425-06-1 149-32-6 0.56 HUUSKONEN_TEST
138-52-3 149-32-6 0.56 HUUSKONEN_TEST
111-11-5 111-82-0 1.00 HUUSKONEN_TEST
37764-25-3 872-50-4 0.55 HUUSKONEN_TEST
55-21-0 100-52-7 0.77 HUUSKONEN_TEST
77-21-4 50-06-6 0.62 HUUSKONEN_TEST
93-89-0 2315-68-6 0.91 HUUSKONEN_TEST
333-41-5 149-32-6 0.56 HUUSKONEN_TEST
84-16-2 84-17-3 0.70 HUUSKONEN_TEST
51-67-2 106-44-5 0.70 HUUSKONEN_TEST
576-26-1 105-67-9 0.87 HUUSKONEN_TEST
143-07-7 123-99-9 1.00 HUUSKONEN_TEST
156-59-2 79-01-6 0.67 HUUSKONEN_TEST
146-22-5 2011-67-8 0.90 HUUSKONEN_TEST
192-97-2 53-70-3 1.00 HUUSKONEN_TEST
71-43-2 109-97-7 0.41 HUUSKONEN_TEST
508-96-3 1107-99-9 0.87 HUUSKONEN_TEST
100-17-4 100-02-7 0.88 HUUSKONEN_TEST
93-65-2 76466-16-5 0.65 HUUSKONEN_TEST
110-02-1 616-44-4 0.56 HUUSKONEN_TEST
32598-11-1 38444-86-9 0.97 HUUSKONEN_TEST
72-20-8 309-00-2 0.80 HUUSKONEN_TEST
579-10-2 620-71-3 0.72 HUUSKONEN_TEST
7307-04-2 110-12-3 0.65 HUUSKONEN_TEST
684-93-5 759-73-9 0.66 HUUSKONEN_TEST
7568-93-6 1517-66-7 0.78 HUUSKONEN_TEST
2188-67-2 59-46-1 0.87 HUUSKONEN_TEST
111-70-6 112-30-1 0.95 HUUSKONEN_TEST
88-04-0 59-50-7 0.91 HUUSKONEN_TEST
3772-76-7 144-83-2 0.60 HUUSKONEN_TEST
37680-73-2 31508-00-6 0.97 HUUSKONEN_TEST
57-41-0 957-51-7 0.58 HUUSKONEN_TEST
82-68-8 149-32-6 0.56 HUUSKONEN_TEST
53-43-0 145-13-1 0.92 HUUSKONEN_TEST
594-36-5 78-86-4 0.73 HUUSKONEN_TEST
50-24-8 83-43-2 1.00 HUUSKONEN_TEST
91-64-5 132-64-9 0.61 HUUSKONEN_TEST
56-29-1 52-31-3 0.84 HUUSKONEN_TEST
104-76-7 31367-46-1 0.79 HUUSKONEN_TEST
100-01-6 99-09-2 0.72 HUUSKONEN_TEST
2921-88-2 5598-13-0 0.94 HUUSKONEN_TEST
146-54-3 117-89-5 0.95 HUUSKONEN_TEST
111-13-7 821-55-6 1.00 HUUSKONEN_TEST
107-02-8 79-06-1 0.56 HUUSKONEN_TEST
103-82-2 60-12-8 0.78 HUUSKONEN_TEST
591-50-4 123-31-9 0.53 HUUSKONEN_TEST
557-17-5 111-43-3 0.87 HUUSKONEN_TEST
2622-26-6 117-89-5 0.78 HUUSKONEN_TEST
50-71-5 461-72-3 0.57 HUUSKONEN_TEST
608-21-9 615-54-3 0.77 HUUSKONEN_TEST
111-87-5 112-30-1 1.00 HUUSKONEN_TEST
93-58-3 2315-68-6 0.83 HUUSKONEN_TEST
142-82-5 292-64-8 0.91 HUUSKONEN_TEST
2104-96-3 299-84-3 0.75 HUUSKONEN_TEST
131-11-3 84-66-2 0.90 HUUSKONEN_TEST
87-47-8 149-32-6 0.56 HUUSKONEN_TEST
5131-24-8 149-32-6 0.56 HUUSKONEN_TEST
108-46-3 108-95-2 0.81 HUUSKONEN_TEST
122-85-0 103-88-8 0.69 HUUSKONEN_TEST
150-69-6 62-44-2 0.80 HUUSKONEN_TEST
614-28-8 85-41-6 0.70 HUUSKONEN_TEST
16118-49-3 101-21-3 0.63 HUUSKONEN_TEST
50-99-7 57-48-7 0.84 HUUSKONEN_TEST
94-20-2 3149-00-6 0.85 HUUSKONEN_TEST
52-67-5 80-60-4 0.56 HUUSKONEN_TEST
37517-28-5 149-32-6 0.56 HUUSKONEN_TEST
672-72-0 57-48-7 0.59 HUUSKONEN_TEST
1689-84-5 149-32-6 0.57 HUUSKONEN_TEST
1177-87-3 378-44-9 0.93 HUUSKONEN_TEST
191-24-2 53-70-3 1.00 HUUSKONEN_TEST
106-93-4 74-96-4 0.86 HUUSKONEN_TEST
120-47-8 99-76-3 0.92 HUUSKONEN_TEST
109-68-2 628-41-1 0.68 HUUSKONEN_TEST
16606-02-3 38444-81-4 0.94 HUUSKONEN_TEST
597-96-6 77-74-7 0.79 HUUSKONEN_TEST
92-24-0 120-12-7 1.00 HUUSKONEN_TEST
95-57-8 88-06-2 0.75 HUUSKONEN_TEST
96-47-9 108-93-0 0.76 HUUSKONEN_TEST
122-11-2 144-83-2 0.59 HUUSKONEN_TEST
52251-71-5 939-27-5 0.95 HUUSKONEN_TEST
543-28-2 51-79-6 0.76 HUUSKONEN_TEST
99-04-7 65-85-0 0.76 HUUSKONEN_TEST
589-91-3 627-59-8 0.79 HUUSKONEN_TEST
366-18-7 149-32-6 0.59 HUUSKONEN_TEST
104-75-6 6876-23-9 0.68 HUUSKONEN_TEST
33146-45-1 15968-05-5 0.96 HUUSKONEN_TEST
590-12-5 106-95-6 0.46 HUUSKONEN_TEST
108-98-5 100-68-5 0.64 HUUSKONEN_TEST
35065-27-1 31508-00-6 0.97 HUUSKONEN_TEST
28299-41-4 108-39-4 0.71 HUUSKONEN_TEST
142-68-7 628-28-4 0.82 HUUSKONEN_TEST
58-94-6 58-93-5 0.68 HUUSKONEN_TEST
123-25-1 105-66-8 0.76 HUUSKONEN_TEST
91-01-0 101-81-5 0.66 HUUSKONEN_TEST
84-65-1 72-48-0 0.67 HUUSKONEN_TEST
56-04-2 141-90-2 0.65 HUUSKONEN_TEST
123-51-3 624-95-3 0.83 HUUSKONEN_TEST
34123-59-6 101-42-8 0.76 HUUSKONEN_TEST
488-73-3 643-12-9 1.00 HUUSKONEN_TEST
83-34-1 120-72-9 0.67 HUUSKONEN_TEST
389-08-2 51940-44-4 0.65 HUUSKONEN_TEST
106-42-3 108-38-3 0.74 HUUSKONEN_TEST
98-54-4 499-75-2 0.68 HUUSKONEN_TEST
589-93-5 583-61-9 0.73 HUUSKONEN_TEST
91-22-5 260-94-6 0.90 HUUSKONEN_TEST
484-12-8 149-32-6 0.56 HUUSKONEN_TEST
614-61-9 94-75-7 0.89 HUUSKONEN_TEST
87-61-6 634-90-2 0.84 HUUSKONEN_TEST
71-36-3 111-27-3 0.78 HUUSKONEN_TEST
4516-69-2 589-90-2 0.56 HUUSKONEN_TEST
619-02-3 14073-97-3 0.69 HUUSKONEN_TEST
24691-80-3 149-32-6 0.56 HUUSKONEN_TEST
84-74-2 84-69-5 0.94 HUUSKONEN_TEST
91-15-6 100-47-0 0.66 HUUSKONEN_TEST
40186-72-9 52712-05-7 1.00 HUUSKONEN_TEST
846-49-1 2011-67-8 0.58 HUUSKONEN_TEST
2235-90-7 87-51-4 0.68 HUUSKONEN_TEST
98-96-4 149-32-6 0.51 HUUSKONEN_TEST
51-55-8 101-31-5 1.00 HUUSKONEN_TEST
96-33-3 140-88-5 0.83 HUUSKONEN_TEST
77-65-6 149-32-6 0.57 HUUSKONEN_TEST
137-58-6 96-88-8 0.64 HUUSKONEN_TEST
78-92-2 584-02-1 0.94 HUUSKONEN_TEST
75-83-2 96-14-0 0.73 HUUSKONEN_TEST
141-84-4 151-67-7 0.53 HUUSKONEN_TEST
99-94-5 65-85-0 0.88 HUUSKONEN_TEST
96-37-7 107-83-5 0.82 HUUSKONEN_TEST
2050-68-2 2050-67-1 0.79 HUUSKONEN_TEST
65-86-1 626-48-2 0.64 HUUSKONEN_TEST
91-57-6 581-42-0 0.99 HUUSKONEN_TEST
591-17-3 106-38-7 0.80 HUUSKONEN_TEST
2460-49-3 2539-17-5 0.74 HUUSKONEN_TEST
103-84-4 122-80-5 0.91 HUUSKONEN_TEST
10238-21-8 664-95-9 0.61 HUUSKONEN_TEST
334-48-5 123-99-9 1.00 HUUSKONEN_TEST
595-41-5 600-36-2 1.00 HUUSKONEN_TEST
123-86-4 123-92-2 0.85 HUUSKONEN_TEST
52663-69-1 55215-17-3 1.00 HUUSKONEN_TEST
628-32-0 111-43-3 1.00 HUUSKONEN_TEST
110-44-1 106-63-8 0.60 HUUSKONEN_TEST
108-44-1 106-49-0 0.79 HUUSKONEN_TEST
1982-49-6 101-42-8 0.64 HUUSKONEN_TEST
583-53-9 615-54-3 0.78 HUUSKONEN_TEST
598-50-5 632-22-4 0.48 HUUSKONEN_TEST
50-23-7 83-43-2 0.89 HUUSKONEN_TEST
TRAIN001 149-32-6 0.56 JCIM
TRAIN002 61-68-7 1.00 JCIM
TRAIN003 144-83-2 0.66 JCIM
TRAIN004 149-32-6 0.56 JCIM
TRAIN005 149-32-6 0.56 JCIM
TRAIN006 664-95-9 0.67 JCIM
TRAIN007 149-32-6 0.56 JCIM
TRAIN008 530-78-9 1.00 JCIM
TRAIN009 50-53-3 1.00 JCIM
TRAIN010 149-32-6 0.56 JCIM
TRAIN011 36322-90-4 1.00 JCIM
TRAIN012 50-47-5 0.95 JCIM
TRAIN013 81-81-2 1.00 JCIM
TRAIN014 22204-53-1 0.59 JCIM
TRAIN015 149-32-6 0.56 JCIM
TRAIN016 4394-00-7 1.00 JCIM
TRAIN017 149-32-6 0.56 JCIM
TRAIN018 149-32-6 0.56 JCIM
TRAIN019 22204-53-1 1.00 JCIM
TRAIN020 149-32-6 0.56 JCIM
TRAIN021 50-33-9 1.00 JCIM
TRAIN022 149-32-6 0.56 JCIM
TRAIN023 149-32-6 0.56 JCIM
TRAIN024 5104-49-4 1.00 JCIM
TRAIN025 149-32-6 0.56 JCIM
TRAIN026 149-32-6 0.56 JCIM
TRAIN027 149-32-6 0.56 JCIM
TRAIN028 149-32-6 0.56 JCIM
TRAIN029 149-32-6 0.56 JCIM
TRAIN030 957-51-7 0.58 JCIM
TRAIN031 578-67-6 0.61 JCIM
TRAIN032 149-32-6 0.56 JCIM
TRAIN033 22204-53-1 0.60 JCIM
TRAIN034 149-32-6 0.56 JCIM
TRAIN035 50-47-5 1.00 JCIM
TRAIN036 51940-44-4 0.65 JCIM
TRAIN037 149-32-6 0.56 JCIM
TRAIN038 149-32-6 0.56 JCIM
TRAIN039 53648-05-8 0.62 JCIM
TRAIN040 364-62-5 1.00 JCIM
TRAIN041 58-93-5 0.81 JCIM
TRAIN042 15299-99-7 0.62 JCIM
TRAIN043 57-62-5 0.59 JCIM
TRAIN044 149-32-6 0.56 JCIM
TRAIN045 87-51-4 0.76 JCIM
TRAIN046 3149-00-6 0.85 JCIM
TRAIN047 67-20-9 1.00 JCIM
TRAIN048 96-88-8 0.98 JCIM
TRAIN049 149-32-6 0.56 JCIM
TRAIN050 149-32-6 0.56 JCIM
TRAIN051 58-93-5 0.81 JCIM
TRAIN052 149-32-6 0.56 JCIM
TRAIN053 149-32-6 0.56 JCIM
TRAIN054 79-57-2 0.86 JCIM
TRAIN055 118-92-3 0.72 JCIM
TRAIN056 59-46-1 0.80 JCIM
TRAIN057 58-93-5 0.62 JCIM
TRAIN058 738-70-5 1.00 JCIM
TRAIN059 149-32-6 0.56 JCIM
TRAIN060 50-59-9 0.85 JCIM
TRAIN061 60-54-8 1.00 JCIM
TRAIN062 149-32-6 0.56 JCIM
TRAIN063 76-57-3 0.81 JCIM
TRAIN064 56-54-2 1.00 JCIM
TRAIN065 149-32-6 0.56 JCIM
TRAIN066 57-68-1 1.00 JCIM
TRAIN067 72-14-0 1.00 JCIM
TRAIN068 52-31-3 0.84 JCIM
TRAIN069 149-32-6 0.56 JCIM
TRAIN070 273-53-0 0.61 JCIM
TRAIN071 149-32-6 0.56 JCIM
TRAIN072 140-67-0 0.61 JCIM
TRAIN073 119-36-8 0.63 JCIM
TRAIN074 60-12-8 0.57 JCIM
TRAIN075 149-32-6 0.56 JCIM
TRAIN076 59-66-5 1.00 JCIM
TRAIN077 149-32-6 0.56 JCIM
TRAIN078 50-06-6 1.00 JCIM
TRAIN079 149-32-6 0.57 JCIM
TRAIN080 89-83-8 1.00 JCIM
TRAIN081 101-31-5 1.00 JCIM
TRAIN082 90-15-3 1.00 JCIM
TRAIN083 149-32-6 0.56 JCIM
TRAIN084 59-46-1 1.00 JCIM
TRAIN085 108-95-2 0.65 JCIM
TRAIN086 149-32-6 0.56 JCIM
TRAIN087 260-94-6 0.73 JCIM
TRAIN088 88-99-3 1.00 JCIM
TRAIN089 144-80-9 1.00 JCIM
TRAIN090 88-99-3 1.00 JCIM
TRAIN091 99-76-3 0.85 JCIM
TRAIN092 57-62-5 0.62 JCIM
TRAIN093 443-48-1 1.00 JCIM
TRAIN094 103-90-2 1.00 JCIM
85271692 149-32-6 0.56 PUBCHEM
85271540 149-32-6 0.56 PUBCHEM
85271342 149-32-6 0.56 PUBCHEM
85271285 149-32-6 0.56 PUBCHEM
85271165 94-23-5 0.60 PUBCHEM
85271146 149-32-6 0.56 PUBCHEM
85271020 94-23-5 0.60 PUBCHEM
85270763 149-32-6 0.56 PUBCHEM
85270736 149-32-6 0.56 PUBCHEM
85270634 149-32-6 0.56 PUBCHEM
85270585 149-32-6 0.56 PUBCHEM
85270234 149-32-6 0.56 PUBCHEM
85270203 149-32-6 0.56 PUBCHEM
85270062 149-32-6 0.56 PUBCHEM
85270014 149-32-6 0.56 PUBCHEM
85269958 149-32-6 0.56 PUBCHEM
85269927 149-32-6 0.56 PUBCHEM
85269872 552-32-9 0.65 PUBCHEM
85269865 149-32-6 0.56 PUBCHEM
85269779 121-61-9 0.58 PUBCHEM
85269760 149-32-6 0.56 PUBCHEM
85269378 121-92-6 0.59 PUBCHEM
85268917 149-32-6 0.56 PUBCHEM
85268903 149-32-6 0.56 PUBCHEM
85268845 149-32-6 0.56 PUBCHEM
85268773 149-32-6 0.56 PUBCHEM
85268430 149-32-6 0.56 PUBCHEM
85268385 149-32-6 0.56 PUBCHEM
85268374 149-32-6 0.56 PUBCHEM
